grid_id,center_lat,center_lon,demand,supply,demand_supply_ratio
GRID_0_0,37.402252252252254,126.70281531531532,0,0,0.0
GRID_0_1,37.402252252252254,126.70844594594595,0,0,0.0
GRID_0_2,37.402252252252254,126.7140765765766,0,0,0.0
GRID_0_3,37.402252252252254,126.71970720720722,0,0,0.0
GRID_0_4,37.402252252252254,126.72533783783786,0,0,0.0
GRID_0_5,37.402252252252254,126.73096846846848,0,0,0.0
GRID_0_6,37.402252252252254,126.73659909909912,0,0,0.0
GRID_0_7,37.402252252252254,126.74222972972976,0,0,0.0
GRID_0_8,37.402252252252254,126.7478603603604,0,0,0.0
GRID_0_9,37.402252252252254,126.75349099099104,0,0,0.0
GRID_0_10,37.402252252252254,126.75912162162166,0,0,0.0
GRID_0_11,37.402252252252254,126.7647522522523,0,0,0.0
GRID_0_12,37.402252252252254,126.77038288288291,0,0,0.0
GRID_0_13,37.402252252252254,126.77601351351356,0,0,0.0
GRID_0_14,37.402252252252254,126.7816441441442,0,0,0.0
GRID_0_15,37.402252252252254,126.78727477477484,0,0,0.0
GRID_0_16,37.402252252252254,126.79290540540546,0,0,0.0
GRID_0_17,37.402252252252254,126.7985360360361,0,0,0.0
GRID_0_18,37.402252252252254,126.80416666666672,0,0,0.0
GRID_0_19,37.402252252252254,126.80979729729737,0,0,0.0
GRID_0_20,37.402252252252254,126.815427927928,0,0,0.0
GRID_0_21,37.402252252252254,126.82105855855863,0,0,0.0
GRID_0_22,37.402252252252254,126.82668918918928,0,0,0.0
GRID_0_23,37.402252252252254,126.8323198198199,0,0,0.0
GRID_0_24,37.402252252252254,126.83795045045052,0,0,0.0
GRID_0_25,37.402252252252254,126.84358108108115,0,0,0.0
GRID_0_26,37.402252252252254,126.8492117117118,0,0,0.0
GRID_0_27,37.402252252252254,126.85484234234244,0,0,0.0
GRID_0_28,37.402252252252254,126.86047297297308,0,0,0.0
GRID_0_29,37.402252252252254,126.8661036036037,0,0,0.0
GRID_0_30,37.402252252252254,126.87173423423434,0,0,0.0
GRID_0_31,37.402252252252254,126.87736486486496,0,0,0.0
GRID_0_32,37.402252252252254,126.8829954954956,0,0,0.0
GRID_0_33,37.402252252252254,126.88862612612624,0,0,0.0
GRID_0_34,37.402252252252254,126.89425675675687,0,0,0.0
GRID_0_35,37.402252252252254,126.89988738738752,0,0,0.0
GRID_0_36,37.402252252252254,126.90551801801814,0,0,0.0
GRID_0_37,37.402252252252254,126.91114864864878,0,0,0.0
GRID_0_38,37.402252252252254,126.9167792792794,0,0,0.0
GRID_0_39,37.402252252252254,126.92240990991004,0,0,0.0
GRID_0_40,37.402252252252254,126.92804054054068,0,0,0.0
GRID_0_41,37.402252252252254,126.93367117117133,0,0,0.0
GRID_0_42,37.402252252252254,126.93930180180196,0,0,0.0
GRID_0_43,37.402252252252254,126.94493243243258,0,0,0.0
GRID_0_44,37.402252252252254,126.9505630630632,0,0,0.0
GRID_0_45,37.402252252252254,126.95619369369383,0,0,0.0
GRID_0_46,37.402252252252254,126.96182432432448,0,0,0.0
GRID_0_47,37.402252252252254,126.96745495495512,0,0,0.0
GRID_0_48,37.402252252252254,126.97308558558576,0,0,0.0
GRID_0_49,37.402252252252254,126.97871621621638,0,0,0.0
GRID_0_50,37.402252252252254,126.98434684684702,0,0,0.0
GRID_0_51,37.402252252252254,126.98997747747764,0,0,0.0
GRID_0_52,37.402252252252254,126.99560810810829,0,0,0.0
GRID_0_53,37.402252252252254,127.00123873873892,0,0,0.0
GRID_0_54,37.402252252252254,127.00686936936955,0,0,0.0
GRID_0_55,37.402252252252254,127.0125000000002,0,0,0.0
GRID_0_56,37.402252252252254,127.01813063063082,0,0,0.0
GRID_0_57,37.402252252252254,127.02376126126146,0,0,0.0
GRID_0_58,37.402252252252254,127.02939189189208,0,0,0.0
GRID_0_59,37.402252252252254,127.03502252252272,0,0,0.0
GRID_0_60,37.402252252252254,127.04065315315336,0,0,0.0
GRID_0_61,37.402252252252254,127.046283783784,0,0,0.0
GRID_0_62,37.402252252252254,127.05191441441464,0,0,0.0
GRID_0_63,37.402252252252254,127.05754504504526,0,0,0.0
GRID_0_64,37.402252252252254,127.0631756756759,0,0,0.0
GRID_0_65,37.402252252252254,127.06880630630651,0,0,0.0
GRID_0_66,37.402252252252254,127.07443693693716,0,0,0.0
GRID_0_67,37.402252252252254,127.0800675675678,0,0,0.0
GRID_0_68,37.402252252252254,127.08569819819844,0,0,0.0
GRID_0_69,37.402252252252254,127.09132882882906,0,0,0.0
GRID_0_70,37.402252252252254,127.0969594594597,0,0,0.0
GRID_0_71,37.402252252252254,127.10259009009032,0,0,0.0
GRID_0_72,37.402252252252254,127.10822072072096,0,0,0.0
GRID_0_73,37.402252252252254,127.1138513513516,0,0,0.0
GRID_0_74,37.402252252252254,127.11948198198225,0,0,0.0
GRID_0_75,37.402252252252254,127.12511261261288,0,0,0.0
GRID_0_76,37.402252252252254,127.1307432432435,0,0,0.0
GRID_0_77,37.402252252252254,127.13637387387412,0,0,0.0
GRID_0_78,37.402252252252254,127.14200450450475,0,0,0.0
