grid_id,min_lat,max_lat,min_lon,max_lon,center_lat,center_lon,demand_score,supply_score
GRID_000_000,37.4,37.4045,126.7,126.7056,37.402249999999995,126.7028,0.0,129.23721
GRID_000_001,37.4,37.4045,126.7056,126.7112,37.402249999999995,126.7084,0.0,129.23721
GRID_000_002,37.4,37.4045,126.7112,126.7168,37.402249999999995,126.714,0.0,129.23721
GRID_000_003,37.4,37.4045,126.7168,126.72240000000001,37.402249999999995,126.7196,0.0,129.23721
GRID_000_004,37.4,37.4045,126.72240000000001,126.72800000000001,37.402249999999995,126.7252,0.0,129.23721
GRID_000_005,37.4,37.4045,126.72800000000001,126.73360000000001,37.402249999999995,126.7308,0.0,129.23721
GRID_000_006,37.4,37.4045,126.73360000000001,126.73920000000001,37.402249999999995,126.7364,0.0,129.23721
GRID_000_007,37.4,37.4045,126.73920000000001,126.74480000000001,37.402249999999995,126.742,0.0,129.23721
GRID_000_008,37.4,37.4045,126.74480000000001,126.75040000000001,37.402249999999995,126.7476,0.0,129.23721
GRID_000_009,37.4,37.4045,126.75040000000001,126.75600000000001,37.402249999999995,126.7532,0.0,129.23721
GRID_000_010,37.4,37.4045,126.75600000000001,126.76160000000002,37.402249999999995,126.75880000000001,0.0,129.23721
GRID_000_011,37.4,37.4045,126.76160000000002,126.76720000000002,37.402249999999995,126.76440000000001,0.0,129.23721
GRID_000_012,37.4,37.4045,126.76720000000002,126.77280000000002,37.402249999999995,126.77000000000001,0.0,129.23721
GRID_000_013,37.4,37.4045,126.77280000000002,126.77840000000002,37.402249999999995,126.77560000000001,0.0,129.23721
GRID_000_014,37.4,37.4045,126.77840000000002,126.78400000000002,37.402249999999995,126.78120000000001,0.0,129.23721
GRID_000_015,37.4,37.4045,126.78400000000002,126.78960000000002,37.402249999999995,126.78680000000001,0.0,129.23721
GRID_000_016,37.4,37.4045,126.78960000000002,126.79520000000002,37.402249999999995,126.79240000000001,0.0,129.23721
GRID_000_017,37.4,37.4045,126.79520000000002,126.80080000000002,37.402249999999995,126.79800000000002,0.0,129.23721
GRID_000_018,37.4,37.4045,126.80080000000002,126.80640000000002,37.402249999999995,126.80360000000002,0.0,27.15053
GRID_000_019,37.4,37.4045,126.80640000000002,126.81200000000003,37.402249999999995,126.80920000000002,0.0,27.15053
GRID_000_020,37.4,37.4045,126.81200000000003,126.81760000000003,37.402249999999995,126.81480000000002,0.0,27.15053
GRID_000_021,37.4,37.4045,126.81760000000003,126.82320000000003,37.402249999999995,126.82040000000002,0.0,27.15053
GRID_000_022,37.4,37.4045,126.82320000000003,126.82880000000003,37.402249999999995,126.82600000000002,0.0,27.15053
GRID_000_023,37.4,37.4045,126.82880000000003,126.83440000000003,37.402249999999995,126.83160000000002,0.0,27.15053
GRID_000_024,37.4,37.4045,126.83440000000003,126.84000000000003,37.402249999999995,126.83720000000002,0.0,27.15053
GRID_000_025,37.4,37.4045,126.84000000000003,126.84560000000003,37.402249999999995,126.84280000000003,0.0,27.15053
GRID_000_026,37.4,37.4045,126.84560000000003,126.85120000000003,37.402249999999995,126.84840000000003,0.0,27.15053
GRID_000_027,37.4,37.4045,126.85120000000003,126.85680000000004,37.402249999999995,126.85400000000003,0.0,27.15053
GRID_000_028,37.4,37.4045,126.85680000000004,126.86240000000004,37.402249999999995,126.85960000000003,0.0,27.15053
GRID_000_029,37.4,37.4045,126.86240000000004,126.86800000000004,37.402249999999995,126.86520000000003,0.0,27.15053
GRID_000_030,37.4,37.4045,126.86800000000004,126.87360000000004,37.402249999999995,126.87080000000003,0.0,27.15053
GRID_000_031,37.4,37.4045,126.87360000000004,126.87920000000004,37.402249999999995,126.87640000000003,0.0,27.15053
GRID_000_032,37.4,37.4045,126.87920000000004,126.88480000000004,37.402249999999995,126.88200000000003,0.0,27.15053
GRID_000_033,37.4,37.4045,126.88480000000004,126.89040000000004,37.402249999999995,126.88760000000003,0.0,27.15053
GRID_000_034,37.4,37.4045,126.89040000000004,126.89600000000004,37.402249999999995,126.89320000000004,0.0,27.15053
GRID_000_035,37.4,37.4045,126.89600000000004,126.90160000000004,37.402249999999995,126.89880000000004,0.0,27.15053
GRID_000_036,37.4,37.4045,126.90160000000004,126.90720000000005,37.402249999999995,126.90440000000004,0.0,27.15053
GRID_000_037,37.4,37.4045,126.90720000000005,126.91280000000005,37.402249999999995,126.91000000000004,0.0,27.15053
GRID_000_038,37.4,37.4045,126.91280000000005,126.91840000000005,37.402249999999995,126.91560000000004,0.0,27.15053
GRID_000_039,37.4,37.4045,126.91840000000005,126.92400000000005,37.402249999999995,126.92120000000004,0.0,27.15053
GRID_000_040,37.4,37.4045,126.92400000000005,126.92960000000005,37.402249999999995,126.92680000000004,0.0,27.15053
GRID_000_041,37.4,37.4045,126.92960000000005,126.93520000000005,37.402249999999995,126.93240000000004,0.0,27.15053
GRID_000_042,37.4,37.4045,126.93520000000005,126.94080000000005,37.402249999999995,126.93800000000005,0.0,27.15053
GRID_000_043,37.4,37.4045,126.94080000000005,126.94640000000005,37.402249999999995,126.94360000000005,0.0,27.15053
GRID_000_044,37.4,37.4045,126.94640000000005,126.95200000000006,37.402249999999995,126.94920000000005,0.0,43.30896
GRID_000_045,37.4,37.4045,126.95200000000006,126.95760000000006,37.402249999999995,126.95480000000005,0.0,43.30896
GRID_000_046,37.4,37.4045,126.95760000000006,126.96320000000006,37.402249999999995,126.96040000000005,0.0,43.30896
GRID_000_047,37.4,37.4045,126.96320000000006,126.96880000000006,37.402249999999995,126.96600000000005,0.0,43.30896
