grid_id,min_lat,max_lat,min_lon,max_lon,center_lat,center_lon,demand_score,supply_score,cluster
GRID_0_0,37.4,37.4045045045045,126.7,126.70563063063064,37.402252252252254,126.70281531531532,0.0,2824571.9299999992,0
GRID_0_1,37.4,37.4045045045045,126.70563063063064,126.71126126126128,37.402252252252254,126.70844594594595,0.0,2824571.9299999992,0
GRID_0_2,37.4,37.4045045045045,126.71126126126128,126.7168918918919,37.402252252252254,126.7140765765766,0.0,2824571.9299999992,0
GRID_0_3,37.4,37.4045045045045,126.7168918918919,126.72252252252254,37.402252252252254,126.71970720720722,0.0,2824571.9299999992,0
GRID_0_4,37.4,37.4045045045045,126.72252252252254,126.72815315315316,37.402252252252254,126.72533783783786,0.0,2824571.9299999992,0
GRID_0_5,37.4,37.4045045045045,126.72815315315316,126.7337837837838,37.402252252252254,126.73096846846848,0.0,2824571.9299999992,0
GRID_0_6,37.4,37.4045045045045,126.7337837837838,126.73941441441444,37.402252252252254,126.73659909909912,0.0,2824571.9299999992,0
GRID_0_7,37.4,37.4045045045045,126.73941441441444,126.74504504504507,37.402252252252254,126.74222972972976,0.0,2824571.9299999992,0
GRID_0_8,37.4,37.4045045045045,126.74504504504507,126.75067567567572,37.402252252252254,126.7478603603604,0.0,2824571.9299999992,0
GRID_0_9,37.4,37.4045045045045,126.75067567567572,126.75630630630634,37.402252252252254,126.75349099099104,0.0,2824571.9299999992,0
GRID_0_10,37.4,37.4045045045045,126.75630630630634,126.76193693693698,37.402252252252254,126.75912162162166,0.0,2824571.9299999992,0
GRID_0_11,37.4,37.4045045045045,126.76193693693698,126.7675675675676,37.402252252252254,126.7647522522523,0.0,2824571.9299999992,0
GRID_0_12,37.4,37.4045045045045,126.7675675675676,126.77319819819824,37.402252252252254,126.77038288288291,0.0,2824571.9299999992,0
GRID_0_13,37.4,37.4045045045045,126.77319819819824,126.77882882882888,37.402252252252254,126.77601351351356,0.0,2824571.9299999992,0
GRID_0_14,37.4,37.4045045045045,126.77882882882888,126.78445945945953,37.402252252252254,126.7816441441442,0.0,2824571.9299999992,0
GRID_0_15,37.4,37.4045045045045,126.78445945945953,126.79009009009016,37.402252252252254,126.78727477477484,0.0,2824571.9299999992,0
GRID_0_16,37.4,37.4045045045045,126.79009009009016,126.79572072072078,37.402252252252254,126.79290540540546,0.0,2824571.9299999992,0
GRID_0_17,37.4,37.4045045045045,126.79572072072078,126.8013513513514,37.402252252252254,126.7985360360361,0.0,2824571.9299999992,0
GRID_0_18,37.4,37.4045045045045,126.8013513513514,126.80698198198203,37.402252252252254,126.80416666666672,0.0,2824571.9299999992,0
GRID_0_19,37.4,37.4045045045045,126.80698198198203,126.81261261261268,37.402252252252254,126.80979729729737,0.0,2824571.9299999992,0
GRID_0_20,37.4,37.4045045045045,126.81261261261268,126.81824324324332,37.402252252252254,126.815427927928,0.0,2824571.9299999992,0
GRID_0_21,37.4,37.4045045045045,126.81824324324332,126.82387387387396,37.402252252252254,126.82105855855863,0.0,2824571.9299999992,0
GRID_0_22,37.4,37.4045045045045,126.82387387387396,126.82950450450458,37.402252252252254,126.82668918918928,0.0,2824571.9299999992,0
GRID_0_23,37.4,37.4045045045045,126.82950450450458,126.83513513513522,37.402252252252254,126.8323198198199,0.0,2824571.9299999992,0
GRID_0_24,37.4,37.4045045045045,126.83513513513522,126.84076576576584,37.402252252252254,126.83795045045052,0.0,2824571.9299999992,0
GRID_0_25,37.4,37.4045045045045,126.84076576576584,126.84639639639649,37.402252252252254,126.84358108108115,0.0,2824571.9299999992,0
GRID_0_26,37.4,37.4045045045045,126.84639639639649,126.85202702702712,37.402252252252254,126.8492117117118,0.0,2824571.9299999992,0
GRID_0_27,37.4,37.4045045045045,126.85202702702712,126.85765765765775,37.402252252252254,126.85484234234244,0.0,2824571.9299999992,0
GRID_0_28,37.4,37.4045045045045,126.85765765765775,126.8632882882884,37.402252252252254,126.86047297297308,0.0,2824571.9299999992,0
GRID_0_29,37.4,37.4045045045045,126.8632882882884,126.86891891891902,37.402252252252254,126.8661036036037,0.0,2824571.9299999992,0
